date,k,ch1,ch1_share,ch2,ch2_share,ch3,ch3_share
2025-03-07,2,Rates,0.1380003913629898,Nuclear_Uranium,0.100246988443381,Credit,0.0672799794472005
2025-03-08,2,Rates,0.1368020796047414,Nuclear_Uranium,0.1015138041831069,Credit,0.0666540486354064
2025-03-09,2,Rates,0.1368002005366478,Nuclear_Uranium,0.1015147500178418,Credit,0.0666534029653108
2025-03-10,2,Rates,0.1368224123552141,Nuclear_Uranium,0.1016320961155828,Credit,0.0666725403925294
2025-03-11,2,Rates,0.1347416990536989,Nuclear_Uranium,0.1070249187296562,Credit,0.0673794856383831
2025-03-12,2,Rates,0.1315077741438206,Nuclear_Uranium,0.1042709284934011,Credit,0.067920594926089
2025-03-13,2,Rates,0.1307137038465178,Nuclear_Uranium,0.1007934312752418,Credit,0.0671480126192533
2025-03-14,2,Rates,0.1268850231339361,Nuclear_Uranium,0.1017574309958495,Credit,0.065275864534033
2025-03-15,2,Rates,0.121513397171746,Nuclear_Uranium,0.1072258099146506,Credit,0.0663483075701627
2025-03-16,2,Rates,0.1215127705543222,Nuclear_Uranium,0.1072150902663692,Credit,0.0663469748070792
2025-03-17,2,Rates,0.1215124760436163,Nuclear_Uranium,0.107245239862915,Credit,0.0663498914988663
2025-03-18,2,Rates,0.1221756196880167,Nuclear_Uranium,0.1074769648880647,Credit,0.0666118661508174
2025-03-19,2,Rates,0.1227224295261206,Nuclear_Uranium,0.1089618795378877,Credit,0.0664442834118011
2025-03-20,2,Rates,0.1168268461927277,Nuclear_Uranium,0.0983212348539279,Credit,0.0660875160464271
2025-03-21,2,Rates,0.1119446421151843,Nuclear_Uranium,0.1015311310953781,Credit,0.0647197495552042
2025-03-22,2,Rates,0.1113259414873101,Nuclear_Uranium,0.1019491758622312,Credit,0.0645411315878338
2025-03-23,2,Rates,0.1113242226336399,Nuclear_Uranium,0.1019265327311316,Credit,0.0645377292275569
2025-03-24,2,Rates,0.1113323136015334,Nuclear_Uranium,0.1018738788692019,Credit,0.0645343058159323
2025-03-25,2,Rates,0.105178076837294,Nuclear_Uranium,0.103138048383626,Credit,0.0631268903121405
2025-03-26,2,Nuclear_Uranium,0.1114407547411058,Rates,0.0962744798399126,Credit,0.0614025632728067
2025-03-27,2,Nuclear_Uranium,0.1121297145713046,Rates,0.0986941318714978,Credit,0.0614533195532699
2025-03-28,2,Nuclear_Uranium,0.1151834467232286,Rates,0.1004957941918853,Credit,0.061741639095069
2025-03-29,2,Nuclear_Uranium,0.1209435688425573,Rates,0.0827550422225641,MegaCap_AI,0.0605164489656402
