date,leader1,leader1_share,leader2,leader2_share,leader3,leader3_share
2025-09-12,Semis,0.07012691610157139,Nuclear_Uranium,0.0624614215672942,MegaCap_AI,0.06055019791490211
2025-09-13,Semis,0.07018373090907111,Nuclear_Uranium,0.06228867759643654,MegaCap_AI,0.06052111959521029
2025-09-14,Semis,0.07018348907791004,Nuclear_Uranium,0.06228856818650642,MegaCap_AI,0.060520901980190084
2025-09-15,Semis,0.07018350969823701,Nuclear_Uranium,0.06228863467501159,MegaCap_AI,0.060520902842232084
2025-09-16,Semis,0.07025609434693206,Nuclear_Uranium,0.06191125052908957,MegaCap_AI,0.06046050380448796
2025-09-17,Semis,0.07025009704737437,Nuclear_Uranium,0.061562784494733014,MegaCap_AI,0.06043226154790718
2025-09-18,Semis,0.07004431117606406,Nuclear_Uranium,0.06130494472188583,MegaCap_AI,0.06032491529686417
2025-09-19,Semis,0.0700337083261905,Nuclear_Uranium,0.06148677726983251,MegaCap_AI,0.06026988049633905
2025-09-20,Semis,0.0700737219748075,Nuclear_Uranium,0.060814004710669514,MegaCap_AI,0.060158152646520816
2025-09-21,Semis,0.07007371742882286,Nuclear_Uranium,0.060813994101313947,MegaCap_AI,0.0601581497667585
2025-09-22,Semis,0.07007370022416178,Nuclear_Uranium,0.06081401595681803,MegaCap_AI,0.06015813017120766
2025-09-23,Semis,0.06995700824912794,Nuclear_Uranium,0.06074313208253066,MegaCap_AI,0.059876955279672114
2025-09-24,Semis,0.0698538578592005,Nuclear_Uranium,0.060702408796912063,MegaCap_AI,0.05993290902423167
2025-09-25,Semis,0.07024295574333632,Nuclear_Uranium,0.06078708146016356,MegaCap_AI,0.059921636942659215
2025-09-26,Semis,0.07030543831332642,Nuclear_Uranium,0.06063369202102577,MegaCap_AI,0.06011229932596422
2025-09-27,Semis,0.07029736233458594,Nuclear_Uranium,0.06042047072541799,MegaCap_AI,0.06005922845856446
2025-09-28,Semis,0.07029612653203164,Nuclear_Uranium,0.06041906972731132,MegaCap_AI,0.06005826149378288
2025-09-29,Semis,0.07029613339726594,Nuclear_Uranium,0.06041839540444242,MegaCap_AI,0.06005842561241106
2025-09-30,Semis,0.07029237921712173,Nuclear_Uranium,0.060427508305746974,MegaCap_AI,0.060061042325296056
2025-10-01,Semis,0.07044009167124128,MegaCap_AI,0.06050902472315391,Nuclear_Uranium,0.05986450385302195
2025-10-02,Semis,0.0703482945326195,MegaCap_AI,0.060650012260702345,Nuclear_Uranium,0.05994730821159852
2025-10-03,Semis,0.07045781740973728,MegaCap_AI,0.0606134738426987,Nuclear_Uranium,0.06004857119258917
2025-10-04,Semis,0.0705006682907903,MegaCap_AI,0.06060949246562813,Nuclear_Uranium,0.060031896555758024
2025-10-05,Semis,0.07050066466625786,MegaCap_AI,0.06060948314632928,Nuclear_Uranium,0.06003190562446069
2025-10-06,Semis,0.07050020981502203,MegaCap_AI,0.06060925211770599,Nuclear_Uranium,0.06003126538085248
2025-10-07,Semis,0.07032684176964969,MegaCap_AI,0.06106294698358172,Grid_Power,0.058186830628549645
2025-10-08,Semis,0.07032174818085202,MegaCap_AI,0.06122763136761625,Grid_Power,0.05818804867803769
2025-10-09,Semis,0.07031205444128695,MegaCap_AI,0.06119217389572446,Grid_Power,0.058190229365823735
2025-10-10,Semis,0.07029343332570126,MegaCap_AI,0.06225375359673867,Grid_Power,0.05815477357294842
2025-10-11,Semis,0.07047037049758736,MegaCap_AI,0.06246818279492306,Grid_Power,0.05792669876626259
2025-10-12,Semis,0.07046934719702969,MegaCap_AI,0.06246732549817542,Grid_Power,0.05792575670088558
2025-10-13,Semis,0.07047502093201032,MegaCap_AI,0.062472629711205915,Grid_Power,0.05793068141950998
2025-10-14,Semis,0.07048976601379717,MegaCap_AI,0.062233265340915736,Grid_Power,0.05778152973584369
2025-10-15,Semis,0.07042314375456538,MegaCap_AI,0.06213525437823312,Grid_Power,0.057867119177950524
2025-10-16,Semis,0.07040704763327857,MegaCap_AI,0.06289761520603886,Grid_Power,0.057878827562442774
2025-10-17,Semis,0.07025598326478713,MegaCap_AI,0.06288253935479894,Grid_Power,0.05797965277027713
2025-10-18,Semis,0.07025741051182616,MegaCap_AI,0.06289155426070994,Grid_Power,0.05802155755596697
2025-10-19,Semis,0.0702577900863731,MegaCap_AI,0.06289191123430933,Grid_Power,0.058021891056382904
2025-10-20,Semis,0.07025883681321222,MegaCap_AI,0.06289286281386028,Grid_Power,0.05802280182973126
2025-10-21,Semis,0.07014063316573929,MegaCap_AI,0.06283361077809398,Grid_Power,0.058023606463825365
2025-10-22,Semis,0.07028876068137634,MegaCap_AI,0.06283042460273203,Grid_Power,0.058051351168982385
2025-10-23,Semis,0.07031651106573666,MegaCap_AI,0.06277792675720698,Grid_Power,0.05807341804288019
2025-10-24,Semis,0.07033979850208848,MegaCap_AI,0.06261379151423252,Grid_Power,0.058212809814273646
2025-10-25,Semis,0.07030485498623579,MegaCap_AI,0.06263382249086312,Grid_Power,0.058193087433589155
2025-10-26,Semis,0.07030500601452667,MegaCap_AI,0.0626339833446985,Grid_Power,0.0581932045745568
2025-10-27,Semis,0.07030824801932864,MegaCap_AI,0.06263684426971061,Grid_Power,0.05819595835609545
2025-10-28,Semis,0.07048830154842356,MegaCap_AI,0.06279770059976157,Grid_Power,0.0583708379325644
2025-10-29,Semis,0.07069154452177552,MegaCap_AI,0.06281292359953293,Grid_Power,0.05850905095376638
2025-10-30,Semis,0.07072753360959236,MegaCap_AI,0.0628601353775457,Grid_Power,0.05850943973730264
